Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Trade_Duration_Mins,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Rng,A5,RV,Net_Points,R_Multiple,Session_Range,Session_Volume,SMA200,Vol_SMA50,Regime_Dist,Module
2024-10-14 05:05:00,MCL,SELL,73.88,73.88,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.76|A5:0.19|RV:10.88,CLOSED_WIN,630,630,,,,,,1.0,26183.0,74.95,3838414.0,1.31,MCL
2024-10-15 04:02:00,MCL,SELL,70.73,70.73,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.5|A5:0.14|RV:2.77,CLOSED_WIN,630,630,,,,,,3.46,247529.0,74.98,3841958.0,-2.96,MCL
2024-10-28 05:11:00,MCL,SELL,67.73,67.73,,,,Lon_Brk_S,,Lon_Brk_S|Rng:1.07|A5:0.13|RV:5.52,CLOSED_WIN,630,630,,,,,,1.21,52656.0,75.22,3929482.0,-6.37,MCL
2024-11-06 08:06:00,MCL,SELL,70.19,70.19,,,,Lon_Brk_S,,Lon_Brk_S|Rng:1.22|A5:0.16|RV:2.69,CLOSED_WIN,630,630,,,,,,1.59,237377.0,75.37,4081484.0,-1.1,MCL
2024-11-18 03:14:00,MCL,BUY,67.29,67.29,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.14|A5:0.07|RV:4.17,CLOSED_WIN,630,630,,,,,,0.71,5024.0,75.39,3976956.0,-4.4,MCL
2025-01-14 09:58:00,MCL,SELL,77.89,77.89,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.05|A5:0.2|RV:3.31,CLOSED_WIN,630,630,,,,,,1.9,377487.0,75.42,2850838.0,8.29,MCL
2025-02-24 05:09:00,MCL,BUY,70.51,70.51,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.51|A5:0.08|RV:4.42,CLOSED_WIN,105,105,,,,,,0.69,13710.0,75.21,2685648.0,1.01,MCL
2025-04-03 03:12:00,MCL,SELL,69.09,69.09,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.47|A5:0.1|RV:13.79,CLOSED_WIN,630,630,,,,,,3.01,283357.0,75.0,2704406.0,-3.66,MCL
2025-04-04 10:47:00,MCL,SELL,60.76,60.76,,,,Pit_Brk_S,,Pit_Brk_S|Rng:5.11|A5:0.3|RV:3.66,CLOSED_LOSS,-1035,-1035,,,,,,,,,,,MCL
2025-04-09 20:33:00,MCL,SELL,62.51,62.51,,,,Asia_Brk_S,,Asia_Brk_S|Rng:3.15|A5:0.16|RV:3.67,CLOSED_WIN,630,630,,,,,,5.01,546199.0,74.75,3337212.0,-9.59,MCL
2025-04-10 21:38:00,MCL,SELL,59.74,59.74,,,,Asia_Brk_S,,Asia_Brk_S|Rng:2.21|A5:0.15|RV:0.84,CLOSED_LOSS,-1035,-1035,,,,,,8.22,540692.0,74.68,3435736.0,-12.53,MCL
2025-04-14 06:51:00,MCL,BUY,62.19,62.19,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.96|A5:0.11|RV:1.21,CLOSED_WIN,630,630,,,,,,1.08,10656.0,74.56,3470834.0,-10.59,MCL
2025-04-16 04:29:00,MCL,BUY,61.83,61.83,,,,Lon_Brk_L,,Lon_Brk_L|Rng:1.26|A5:0.11|RV:11.08,CLOSED_WIN,630,630,,,,,,1.18,169335.0,74.43,3408718.0,-8.97,MCL
2025-04-23 10:12:00,MCL,SELL,62.08,62.08,,,,Pit_Brk_S,,Pit_Brk_S|Rng:2.25|A5:0.27|RV:11.2,CLOSED_WIN,630,630,,,,,,1.63,20129.0,74.18,3639624.0,-8.26,MCL
2025-05-05 03:23:00,MCL,BUY,57.04,57.04,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.58|A5:0.11|RV:4.38,CLOSED_WIN,630,630,,,,,,1.48,44721.0,73.6,4211294.0,-15.26,MCL
2025-05-06 03:02:00,MCL,BUY,58.33,58.33,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.11|A5:0.07|RV:1.17,CLOSED_WIN,630,630,,,,,,2.24,252049.0,73.52,4267592.0,-12.14,MCL
2025-05-15 03:11:00,MCL,SELL,60.95,60.95,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.36|A5:0.17|RV:1.89,CLOSED_WIN,630,630,,,,,,2.29,205242.0,73.18,4472034.0,-7.64,MCL
2025-05-19 06:18:00,MCL,SELL,61.07,61.07,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.68|A5:0.1|RV:4.47,CLOSED_LOSS,-1035,-1035,,,,,,1.23,1741.0,73.1,4505472.0,-6.28,MCL
2025-05-22 03:12:00,MCL,SELL,60.44,60.44,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.24|A5:0.14|RV:0.76,CLOSED_LOSS,-1035,-1035,,,,,,1.99,274382.0,73.01,4619944.0,-8.03,MCL
2025-05-29 03:07:00,MCL,BUY,63.03,63.03,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.14|A5:0.06|RV:4.56,CLOSED_LOSS,-1035,-1035,,,,,,1.87,248734.0,72.86,4769840.0,-7.79,MCL
2025-06-02 04:10:00,MCL,BUY,62.77,62.77,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.51|A5:0.13|RV:6.13,CLOSED_WIN,630,630,,,,,,1.64,38053.0,72.77,5002796.0,-4.42,MCL
2025-06-11 20:31:00,MCL,SELL,68.28,68.28,,,,Asia_Brk_S,,Asia_Brk_S|Rng:1.82|A5:0.19|RV:1.9,CLOSED_WIN,630,630,,,,,,1.71,245205.0,72.64,5363446.0,3.01,MCL
2025-06-16 10:02:00,MCL,BUY,69.82,69.82,,,,Pit_Fade_L,,Pit_Fade_L|Rng:2.65|A5:0.46|RV:4.84,CLOSED_WIN,630,630,,,,,,4.54,47658.0,72.66,6852414.0,8.17,MCL
2025-06-17 21:02:00,MCL,SELL,73.22,73.22,,,,Asia_Brk_S,,Asia_Brk_S|Rng:2|A5:0.15|RV:4,CLOSED_WIN,630,630,,,,,,4.62,299392.0,72.69,7190802.0,13.22,MCL
2025-06-19 20:06:00,MCL,BUY,73.9,73.9,,,,Asia_Brk_L,,Asia_Brk_L|Rng:1.16|A5:0.23|RV:3.53,CLOSED_LOSS,-1035,-1035,,,,,,4.51,101145.0,72.72,7768866.0,13.13,MCL
2025-06-23 03:09:00,MCL,SELL,74.48,74.48,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.6|A5:0.17|RV:4.14,CLOSED_WIN,630,630,,,,,,3.49,89626.0,72.79,8592148.0,4.97,MCL
2025-06-24 09:17:00,MCL,SELL,65.09,65.09,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.55|A5:0.28|RV:10.14,CLOSED_WIN,630,630,,,,,,11.01,685912.0,72.81,8782606.0,0.27,MCL
2025-07-07 03:07:00,MCL,BUY,66.46,66.46,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.17|A5:0.07|RV:3.74,CLOSED_WIN,630,630,,,,,,0.78,16311.0,73.01,9294998.0,4.75,MCL
2025-08-04 03:09:00,MCL,BUY,67.69,67.69,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.16|A5:0.07|RV:3.41,CLOSED_LOSS,-1035,-1035,,,,,,0.56,10040.0,73.31,9345056.0,3.82,MCL
2025-09-03 10:02:00,MCL,SELL,63.97,63.97,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.51|A5:0.14|RV:7.83,CLOSED_LOSS,-1035,-1035,,,,,,1.53,275542.0,73.46,5581616.0,1.86,MCL
2025-09-05 10:58:00,MCL,SELL,61.73,61.73,,,,Pit_Brk_S,,Pit_Brk_S|Rng:1.74|A5:0.17|RV:4.35,CLOSED_LOSS,-510,-510,,,,,,,,,,,MCL
2025-09-08 05:14:00,MCL,BUY,63.11,63.11,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.39|A5:0.09|RV:7.89,CLOSED_LOSS,-1035,-1035,,,,,,0.85,15493.0,73.5,5091864.0,-0.63,MCL
2025-10-06 03:04:00,MCL,BUY,61.98,61.98,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.26|A5:0.08|RV:3.01,CLOSED_LOSS,-1035,-1035,,,,,,0.97,16910.0,73.69,4984306.0,-1.12,MCL
2025-10-13 04:57:00,MCL,BUY,60.02,60.02,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.44|A5:0.12|RV:1.53,CLOSED_LOSS,-1035,-1035,,,,,,1.11,38433.0,73.66,4955686.0,-4.59,MCL
2025-10-22 08:13:00,MCL,BUY,58.5,58.5,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.61|A5:0.1|RV:2.06,CLOSED_WIN,630,630,,,,,,2.03,310609.0,73.44,5308126.0,-3.82,MCL
2025-10-23 04:33:00,MCL,BUY,60.97,60.97,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.58|A5:0.13|RV:4.4,CLOSED_WIN,630,630,,,,,,2.5,392848.0,73.42,5386282.0,-0.17,MCL
2025-12-17 04:00:00,MCL,BUY,56.15,56.15,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.43|A5:0.1|RV:17.61,CLOSED_WIN,90,90,,,,,,1.67,303590.0,72.08,5333440.0,-5.68,MCL
2026-01-05 06:44:00,MCL,BUY,57.76,57.76,,,,Lon_Brk_L,,Lon_Brk_L|Rng:1.44|A5:0.09|RV:7.65,CLOSED_WIN,630,630,,,,,,0.79,20826.0,71.93,4636984.0,-2.38,MCL
2026-01-15 04:39:00,MCL,SELL,59.68,59.68,,,,Lon_Brk_S,,Lon_Brk_S|Rng:0.46|A5:0.12|RV:1.08,CLOSED_WIN,630,630,,,,,,3.17,357527.0,71.76,5000126.0,-0.88,MCL
2026-01-29 03:48:00,MCL,BUY,64.55,64.55,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.51|A5:0.1|RV:7.58,CLOSED_WIN,630,630,,,,,,2.31,333494.0,71.98,5464970.0,9.95,MCL
2026-02-05 07:03:00,MCL,BUY,64.67,64.67,,,,Lon_Brk_L,,Lon_Brk_L|Rng:0.72|A5:0.14|RV:1.43,CLOSED_LOSS,-1035,-1035,,,,,,2.67,420959.0,72.22,6026552.0,6.19,MCL
