Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2026-07-09,2026-07-09 10:55:00,Pit_Brk_S,SELL,1,495,48,2.25,0.31,5.48
2026-07-10,2026-07-10 11:36:00,Pit_Brk_S,SELL,1,495,18,1.69,0.29,1.2
2026-07-14,2026-07-14 10:08:00,Pit_Brk_S,SELL,1,495,26,1.82,0.38,2.37
2026-07-14,2026-07-14 10:36:00,Pit_Fade_L,BUY,0,-1036,28,1.82,0.46,2.09
2026-07-15,2026-07-15 02:22:00,Asia_Brk_S,SELL,0,-1035,38,1.82,0.15,1.51
2026-07-15,2026-07-15 10:28:00,Pit_Brk_S,SELL,1,495,20,1.64,0.26,2.11
2026-07-16,2026-07-16 02:27:00,Asia_Brk_S,SELL,1,495,24,1.64,0.16,1.01
2026-07-17,2026-07-17 02:41:00,Asia_Brk_S,SELL,0,-330,61,1.82,0.2,0.74
2026-07-22,2026-07-22 11:50:00,Pit_Brk_S,SELL,0,-1035,45,2.5,0.33,5.31
2026-07-23,2026-07-23 20:59:00,Asia_Brk_S,SELL,1,495,1,2.86,0.19,0.77
2026-07-24,2026-07-24 11:16:00,Pit_Brk_S,SELL,0,-195,4,2.11,0.39,5.48
2026-07-24,2026-07-24 11:20:00,Pit_Fade_L,BUY,0,-1035,8,2.11,0.42,1.46
2026-07-24,2026-07-23 19:59:01.644,Asia_Brk_S,SELL,1,43.00000000000068,0,0.0,0.0,0.0
2026-07-24,2026-07-24 10:19:02.614,Pit_Fade_L,BUY,0,-70.00000000000028,0,0.0,0.0,0.0
