Date,Timestamp,Engine,Action,Is_Win,Trade_Exact_PnL,Duration_Bars,Micro_Rng,Micro_A5,Micro_RV
2025-12-30,2025-12-30 20:07:00,Asia_Bullet_L,BUY,1,580,6,0.0,6.11,1.56
2026-01-01,2026-01-01 21:51:00,Asia_Bullet_L,BUY,1,615,5,0.0,4.32,3.87
2026-01-05,2026-01-05 04:22:00,Lon_Viper_L,BUY,1,540,21,16.0,3.84,1.79
2026-01-05,2026-01-05 22:13:00,Asia_Bullet_L,BUY,1,130,61,0.0,4.85,4.6
2026-01-08,2026-01-08 08:26:00,COMEX_Swp_S_E,SELL,1,600,4,28.1,5.25,2.97
2026-01-13,2026-01-13 20:01:00,Asia_Bullet_L,BUY,1,540,15,0.0,3.86,6.86
2026-01-20,2026-01-20 20:02:00,Asia_Bullet_L,BUY,1,600,2,0.0,4.23,2.7
2026-01-26,2026-01-26 00:21:00,Asia_Bullet_L,BUY,1,612,5,0.0,7.24,1.67
2026-01-26,2026-01-26 20:12:00,Asia_Bullet_L,BUY,1,530,3,0.0,11.13,2.18
2026-01-27,2026-01-27 20:07:00,Asia_Bullet_L,BUY,0,-896,4,0.0,8.37,5.59
2026-01-30,2026-01-30 11:37:00,V2_Rev_L,BUY,1,560,4,245.9,29.42,2.55
2026-02-02,2026-02-02 20:16:00,Asia_Bullet_L,BUY,0,-726,48,0.0,24.02,2.41
2026-02-03,2026-02-03 20:07:00,Asia_Bullet_L,BUY,1,628,3,0.0,16.57,2.23
2026-02-04,2026-02-04 11:50:00,V2_Rev_L,BUY,1,524,2,77.6,27.54,2.06
2026-02-05,2026-02-05 21:20:00,Asia_Bullet_L,BUY,1,448,9,0.0,23.58,1.06
2026-02-10,2026-02-10 21:47:00,Asia_Bullet_L,BUY,1,495,61,0.0,7.37,1.56
2026-02-11,2026-02-11 04:48:00,Lon_Viper_L,BUY,0,-984,3,27.6,5.31,3.67
2026-02-12,2026-02-12 08:48:00,COMEX_Swp_S_E,SELL,1,610,15,32.0,6.41,1.34
2026-02-12,2026-02-12 11:31:00,V2_Rev_L,BUY,1,606,1,32.0,21.3,2.05
2026-02-12,2026-02-12 20:03:00,Asia_Bullet_L,BUY,1,630,6,0.0,11.08,2.91
2026-02-17,2026-02-17 20:04:00,Asia_Bullet_L,BUY,1,595,60,0.0,8.95,2.63
2026-02-19,2026-02-19 00:10:00,Asia_Bullet_L,BUY,1,600,29,0.0,4.22,1.48
2026-02-19,2026-02-19 20:04:00,Asia_Bullet_L,BUY,1,583,7,0.0,5.58,1.88
2026-02-20,2026-02-20 04:04:00,Lon_Viper_L,BUY,1,612,2,28.0,5.38,2.74
2026-02-24,2026-02-24 20:04:00,Asia_Bullet_L,BUY,1,630,3,0.0,7.36,2.6
2026-02-26,2026-02-26 00:04:00,Asia_Bullet_L,BUY,1,555,6,0.0,3.97,1.76
2026-02-26,2026-02-26 21:01:00,Asia_Bullet_L,BUY,0,-1012,20,0.0,5.98,3.63
2026-03-02,2026-03-02 02:08:00,Asia_Bullet_L,BUY,1,594,4,0.0,6.96,5.65
2026-03-02,2026-03-02 08:32:00,COMEX_Swp_S_E,SELL,1,588,1,45.0,10.38,2.36
2026-03-02,2026-03-02 20:05:00,Asia_Bullet_L,BUY,1,567,2,0.0,8.58,1.65
2026-03-03,2026-03-03 20:01:00,Asia_Bullet_L,BUY,1,624,11,0.0,10.99,3.68
2026-03-04,2026-03-04 05:09:00,Lon_Viper_L,BUY,1,592,6,47.6,7.86,3.78
2026-03-04,2026-03-04 12:25:00,V2_Rev_L,BUY,1,550,1,60.5,11.59,4.05
2026-03-05,2026-03-05 20:41:00,Asia_Bullet_L,BUY,1,588,9,0.0,10.33,2.85
2026-03-06,2026-03-06 08:31:00,COMEX_Swp_S_E,SELL,1,567,0,61.9,8.56,7.21
2026-03-09,2026-03-09 21:21:00,Asia_Bullet_L,BUY,1,602,5,0.0,9.09,3.07
2026-03-10,2026-03-10 20:19:00,Asia_Bullet_L,BUY,1,605,2,0.0,5.81,5.15
2026-03-12,2026-03-12 20:01:00,Asia_Bullet_L,BUY,1,594,21,0.0,5.73,2.94
2026-03-13,2026-03-13 11:56:00,V2_Rev_L,BUY,0,-920,10,47.0,12.07,2.62
2026-03-16,2026-03-16 02:17:00,Asia_Bullet_L,BUY,0,-996,17,0.0,5.37,3.08
2026-03-16,2026-03-16 08:32:00,COMEX_Swp_S_E,SELL,1,608,19,54.6,8.0,1.37
2026-03-16,2026-03-16 21:38:00,Asia_Bullet_L,BUY,1,594,12,0.0,5.75,1.61
2026-03-17,2026-03-17 20:06:00,Asia_Bullet_L,BUY,1,450,2,0.0,3.25,5.28
2026-03-19,2026-03-19 21:41:00,Asia_Bullet_L,BUY,1,600,4,0.0,10.52,2.18
2026-03-23,2026-03-23 08:51:00,COMEX_Swp_S_E,SELL,1,632,28,365.9,33.24,2.64
2026-03-24,2026-03-24 20:05:00,Asia_Bullet_L,BUY,1,544,36,0.0,14.29,1.09
2026-03-26,2026-03-26 12:24:00,V2_Rev_L,BUY,0,-920,6,52.6,12.13,2.03
2026-03-26,2026-03-26 21:33:00,Asia_Bullet_L,BUY,1,567,28,0.0,8.51,1.6
2026-03-30,2026-03-30 01:19:00,Asia_Bullet_L,BUY,1,630,30,0.0,6.64,2.13
2026-03-30,2026-03-30 07:44:00,Lon_Viper_L,BUY,1,621,0,38.4,7.29,1.89
2026-03-30,2026-03-30 20:03:00,Asia_Bullet_L,BUY,0,-1008,11,0.0,7.31,4.26
2026-03-31,2026-03-31 20:06:00,Asia_Bullet_L,BUY,1,581,11,0.0,8.78,2.85
2026-04-01,2026-04-01 07:31:00,Lon_Viper_L,BUY,1,594,8,42.1,6.97,3.26
2026-04-06,2026-04-06 01:08:00,Asia_Bullet_L,BUY,1,590,2,0.0,6.28,2.08
2026-04-06,2026-04-06 04:04:00,Lon_Viper_L,BUY,1,584,21,44.7,7.71,1.25
2026-04-07,2026-04-07 20:01:00,Asia_Bullet_L,BUY,1,560,5,0.0,14.77,2.31
2026-04-08,2026-04-08 12:21:00,V2_Rev_L,BUY,1,602,12,49.6,9.06,2.02
2026-04-09,2026-04-09 09:16:00,COMEX_Swp_S_E,SELL,1,610,14,53.3,6.46,2.0
2026-04-13,2026-04-13 20:31:00,Asia_Bullet_L,BUY,1,616,8,0.0,4.69,2.35
2026-04-14,2026-04-14 21:12:00,Asia_Bullet_L,BUY,1,600,4,0.0,5.34,5.81
2026-04-16,2026-04-16 00:15:00,Asia_Bullet_L,BUY,1,540,22,0.0,3.84,2.65
2026-04-17,2026-04-17 07:48:00,Lon_Viper_L,BUY,1,615,0,29.6,4.32,3.01
2026-04-20,2026-04-20 00:29:00,Asia_Bullet_L,BUY,0,-975,3,0.0,4.13,1.16
2026-04-21,2026-04-21 20:01:00,Asia_Bullet_L,BUY,0,-143,61,0.0,5.11,2.91
2026-04-23,2026-04-23 20:31:00,Asia_Bullet_L,BUY,0,-988,16,0.0,4.89,2.46
2026-04-30,2026-04-30 01:36:00,Asia_Bullet_L,BUY,1,598,15,0.0,4.93,2.22
2026-04-30,2026-04-30 09:16:00,COMEX_Swp_S_E,SELL,1,594,1,62.5,6.99,2.99
2026-05-04,2026-05-04 12:09:00,V2_Rev_L,BUY,1,555,10,68.6,11.71,2.63
2026-05-05,2026-05-05 20:02:00,Asia_Bullet_L,BUY,1,583,21,0.0,5.64,2.06
2026-05-06,2026-05-06 04:11:00,Lon_Viper_L,BUY,1,594,39,25.6,5.69,1.97
2026-05-07,2026-05-07 20:07:00,Asia_Bullet_L,BUY,0,-1008,8,0.0,5.41,3.34
2026-05-08,2026-05-08 08:37:00,COMEX_Swp_S_E,SELL,1,610,8,31.3,6.49,2.26
2026-05-11,2026-05-11 20:18:00,Asia_Bullet_L,BUY,0,-984,4,0.0,5.33,2.7
2026-05-19,2026-05-19 12:11:00,V2_Rev_L,BUY,1,616,14,34.4,8.11,2.05
2026-05-19,2026-05-19 20:26:00,Asia_Bullet_L,BUY,1,605,3,0.0,5.8,3.93
2026-05-29,2026-05-29 05:14:00,Lon_Viper_L,BUY,0,-1008,9,21.4,4.61,5.56
2026-06-02,2026-06-02 20:42:00,Asia_Bullet_L,BUY,0,-960,13,0.0,5.17,2.34
2026-06-04,2026-06-04 00:01:00,Asia_Bullet_L,BUY,1,598,12,0.0,4.91,1.56
2026-06-08,2026-06-08 08:33:00,COMEX_Swp_S_E,SELL,1,612,34,61.2,7.19,1.42
2026-06-08,2026-06-08 21:33:00,Asia_Bullet_L,BUY,0,-968,32,0.0,5.68,1.05
2026-06-11,2026-06-11 00:08:00,Asia_Bullet_L,BUY,1,600,12,0.0,7.93,1.45
2026-06-15,2026-06-15 02:26:00,Asia_Bullet_L,BUY,0,-996,16,0.0,5.38,1.34
2026-06-15,2026-06-15 04:33:00,Lon_Viper_L,BUY,1,611,1,32.7,4.97,5.43
2026-06-18,2026-06-18 11:34:00,V2_Rev_L,BUY,0,-592,46,71.4,8.21,2.08
2026-06-19,2026-06-19 09:02:00,COMEX_Swp_S_E,SELL,1,630,1,37.1,6.62,1.74
2026-06-26,2026-06-26 08:58:00,COMEX_Swp_S_E,SELL,0,-988,2,30.5,4.92,4.32
2026-07-07,2026-07-07 11:56:00,V2_Rev_L,BUY,1,580,23,39.5,6.17,2.04
2026-07-07,2026-07-07 20:35:00,Asia_Bullet_L,BUY,1,630,3,0.0,4.75,1.65
2026-07-10,2026-07-10 08:16:00,COMEX_Swp_S_E,SELL,1,602,5,21.4,4.57,2.47
2026-07-13,2026-07-13 21:59:00,Asia_Bullet_L,BUY,1,600,15,0.0,6.35,3.87
2026-07-16,2026-07-16 12:16:00,V2_Rev_L,BUY,1,72,46,22.4,6.98,2.22
2026-07-24,2026-07-24 04:43:00,Lon_Viper_L,BUY,1,525,16,20.2,3.75,1.76
2026-07-24,2026-07-24 03:43:00.921,Lon_Viper_L,BUY,1,35.0,0,0.0,0.0,0.0
